Identificador;ual_prov;ual_estr;ual_segm;al_ncues;cp_numl;rc_clacul;cp_numt;cp_k404;cp_k405;cp_k406;cp_distancia_1;cp_distancia_2;cp_k408;cp_k409ha;cp_k410ha;cp_k411ha;cp_k412;cp_k416;cp_k417;cp_k418;cp_k420;cp_afecta_prod;cp_k422;cp_k423;cp_k424;cp_k426;cp_venmernac;cp_venmerint;cp_vencenacop;cp_rdproven1;cp_rdproven2;cp_rdproven3;cp_rdproven4;cp_rdproven5;cp_rdproven6;cp_sdrenaje;cp_psdrenaje;cp_riego;cp_superf_regada_ha;cp_porc_surc;cp_porc_aspe;cp_porc_micr;cp_porc_gote;cp_porc_nebu;cp_porc_otro;cp_aferti;cp_forg;cp_cant1_fo;cp_umed1_fo;cp_cant2_fo;cp_umed2_fo;cp_cant3_fo;cp_umed3_fo;cp_fqui;cp_cantidad_npk_fq;cp_umed_npk_fq;cp_cantidad_nit_fq;cp_umed_nit_fq;cp_cantidad_fq;cp_umed_fq;cp_cantidad_pot_fq;cp_umed_pot_fq;cp_apliplagui;cp_porg;cp_cantidad_po;cp_umed_po;cp_pqui;cp_cantidad_her_pq;cp_umed_her_pq;cp_color_her_pq;cp_cantidad_ins_pq;cp_umed_ins_pq;cp_color_ins_pq;cp_cantidad_fun_pq;cp_umed_fun_pq;cp_color_fun_pq;cp_cantidad_pq;cp_umed_pq;cp_color_pq;cp_trabocacont;cp_trabfami;cp_nclavr;cp_trs;cp_trc;cp_tro;cp_znd;cp_tn;cp_prod;ventas;superdida;cp_sequia;cp_helada;cp_plagas;cp_enfermedades;cp_inundacion;cp_otra;cp_edad;edad1;edad2;edad3;cp_vcomún;cp_vmejorada;cp_vhibrinacio;cp_vhibrinterna;cp_sriego;cp_sufertilizantes;cp_sufitosanitario;nuevacondicion;fact_exp_fin
08016302051790001;ESMERALDAS;02;05179;0001;2;OTROS PERMANENTES;2;1; ;0;,3;,3;2;,2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; OTROS PERMANENTES; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;0;,2; ; ; ;,2; ; ; ; ; ;SOLO;128,538052052521
08016302051790014;ESMERALDAS;02;05179;0014;1;OTROS PERMANENTES;1;1; ;0;,2;,2;2;,1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;3;KILOGRAMO; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; OTROS PERMANENTES; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;0;,1; ; ; ;,1; ; ; ;,1; ;SOLO;51,080505259479
08016302051790014;ESMERALDAS;02;05179;0014;2;OTROS PERMANENTES;2;1; ;1;,3;,3;2;,4;,4;,4; ;10;KILOGRAMO;2,2;SIN ESTADO;7;10;KILOGRAMO;2,2;SIN ESTADO;100; ;2; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;3;KILOGRAMO; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ; ; ; ;,29;LIBRA;AZUL; ; ; ; ; ; OTROS PERMANENTES; ;REGIÓN COSTA; ; ;TOTAL NACIONAL;,01;,01; ; ; ; ; ; ; ;1;,4; ; ; ;,4; ; ; ;,4;,4;SOLO;78,6581569593971
08045102113100005;ESMERALDAS;02;11310;0005;1;OTROS PERMANENTES;1;1; ;0;2;2;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; OTROS PERMANENTES; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;0;4; ; ;4; ; ; ; ; ; ;SOLO;78,4513243594187
08045502156540002;ESMERALDAS;02;15654;0002;4;OTROS PERMANENTES;4;1; ;2;3,5;4;3;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;1000;KILOGRAMO; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;2; ; OTROS PERMANENTES; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;2;10; ; ; ; ;10; ; ;10; ;SOLO;29,0941044787386
08045502156540002;ESMERALDAS;02;15654;0002;5;OTROS PERMANENTES;5;1; ;0;3,5;4;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI; ; ;200;KILOGRAMO; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;2; ; OTROS PERMANENTES; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;0;2; ; ; ; ;2; ; ;2; ;SOLO;55,3341194887169
08045502156540002;ESMERALDAS;02;15654;0002;6;OTROS PERMANENTES;7;1; ;2;3,5;4;3;7,75; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;200;KILOGRAMO; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;2; ; OTROS PERMANENTES; ;REGIÓN COSTA; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;2;7,75; ; ; ; ;7,75; ; ;7,75; ;SOLO;4,0116293489495
10015101052360005;IMBABURA;01;05236;0005;1;OTROS PERMANENTES;1;1; ;60;2;2;2;1;1;1; ;55;CAJA;18;SIN ESTADO;2;55;CAJA;18;SIN ESTADO;100; ;2; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;SI;NO; ; ; ; ; ; ;SI;1;QUINTAL; ; ; ; ; ; ;SI;NO; ; ;SI;50;LIBRA;AZUL; ; ; ; ; ; ; ; ; ;1; ; OTROS PERMANENTES;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,45;,45; ; ; ; ; ; ; ;60; ; ;1; ;1; ; ; ;1;1;SOLO;48,3967051178761
10015101052360006;IMBABURA;01;05236;0006;1;OTROS PERMANENTES;1;1; ;15;2;2;1;,1;,1;,05;3;24;BALDE;30;SIN ESTADO;2;24;BALDE;30;SIN ESTADO;100; ;2; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;1;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ;1; OTROS PERMANENTES;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,327272727272727;,327272727272727;,05; ; ;,05; ; ; ;15; ;,1; ;,1; ; ; ; ; ;,1;SOLO;67,079353059969
10015101052360008;IMBABURA;01;05236;0008;1;OTROS PERMANENTES;1;1; ;50;2;2;1;,35;,35;,35; ;15;CAJA;50;SIN ESTADO;1;15;CAJA;50;SIN ESTADO;100; ;1; ; ; ; ; ; ;2; ;SI;,35;100; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI; ; ; ;4;LITRO;NO SABE; ; ; ; ; ; ;1;2; OTROS PERMANENTES;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;,340909090909091;,340909090909091; ; ; ; ; ; ; ;50; ; ;,35;,35; ; ; ;,35; ;,35;SOLO;46,8469923853523
14075102001950003;MORONA SANTIAGO;02;00195;0003;1;OTROS PERMANENTES;1;1; ;10;1,5;1,5;1;1,2;1,2;1,2; ;720;RACIMO;15;SIN ESTADO;7;720;RACIMO;15;SIN ESTADO;100; ;2; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;SI;NO; ; ;SI;,3;LITRO;AMARILLO; ; ; ; ; ; ; ; ; ; ; ; OTROS PERMANENTES; ; ;REGIÓN AMAZÓNICA; ;TOTAL NACIONAL;4,90909090909091;4,90909090909091; ; ; ; ; ; ; ;10; ;1,2; ;1,2; ; ; ; ; ;1,2;SOLO;41,5523047198491
14015802007300001;MORONA SANTIAGO;02;00730;0001;3;OTROS PERMANENTES;4;1; ;20;5;5;1;,3;,3; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; OTROS PERMANENTES; ; ;REGIÓN AMAZÓNICA; ;TOTAL NACIONAL; ; ;,3; ; ; ; ; ;,3;20; ; ;,3;,3; ; ; ; ; ; ;SOLO;121,226383326123
14015802007300001;MORONA SANTIAGO;02;00730;0001;4;OTROS PERMANENTES;6;1; ;6;4;4;1;,65;,24;,1;6;2;SACO;70;SIN ESTADO;7; ; ; ; ; ; ; ; ;2; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; OTROS PERMANENTES; ; ;REGIÓN AMAZÓNICA; ;TOTAL NACIONAL;,0636363636363636; ;,14; ; ; ; ; ;,14;6;,65; ; ;,65; ; ; ; ; ; ;SOLO;65,420882710865
14015702008670007;MORONA SANTIAGO;02;00867;0007;1;OTROS PERMANENTES;1;1; ;1;1;1;3;,03; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;SI;SI;4;QUINTAL; ; ; ; ;SI; ; ;50;KILOGRAMO; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; OTROS PERMANENTES; ; ;REGIÓN AMAZÓNICA; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;1;,03; ; ; ; ;,03; ; ;,03; ;SOLO;119,121730957566
16016203021480014;PASTAZA;03;02148;0014;4;OTROS PERMANENTES;4;1; ;20;4;5;1;4;4;4; ;930;RACIMO;15;SIN ESTADO;7;930;RACIMO;15;SIN ESTADO;100; ;2; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; OTROS PERMANENTES; ; ;REGIÓN AMAZÓNICA; ;TOTAL NACIONAL;6,34090909090909;6,34090909090909; ; ; ; ; ; ; ;20; ; ;4;4; ; ; ; ; ; ;SOLO;124,238297454811
17095004000610004;PICHINCHA;04;00061;0004;1;OTROS PERMANENTES;1;1; ;18;7;7;1;2;2;2; ;11111;KILOGRAMO;2,2;SIN ESTADO;1;11111;KILOGRAMO;2,2;SIN ESTADO;0;100;2; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;10; ; OTROS PERMANENTES;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,111;11,111; ; ; ; ; ; ; ;18; ;2; ;2; ; ; ; ; ; ;SOLO;85,4001632492933
17095004000610004;PICHINCHA;04;00061;0004;2;OTROS PERMANENTES;2;1; ;18;7;7;1;2;2;2; ;11111;KILOGRAMO;2,2;SIN ESTADO;1;11111;KILOGRAMO;2,2;SIN ESTADO;0;100;2; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0; ; OTROS PERMANENTES;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;11,111;11,111; ; ; ; ; ; ; ;18; ;2; ;2; ; ; ; ; ; ;SOLO;113,314344058272
17095004000610004;PICHINCHA;04;00061;0004;5;OTROS PERMANENTES;4;2;1;18;7;7;1;,5;,5;,5; ;2777;KILOGRAMO;2,2;SIN ESTADO;1;2777;KILOGRAMO;2,2;SIN ESTADO; ;100;2; ; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; OTROS PERMANENTES;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2,777;2,777; ; ; ; ; ; ; ;18; ;,5; ;,5; ; ; ; ; ; ;ASOCIADO;56,1514246088576
22015804002780005;ORELLANA;04;00278;0005;1;OTROS PERMANENTES;1;1; ;4;6;6;2;,37;,37;,37; ;10;QUINTAL;100;SIN ESTADO;7;9;QUINTAL;100;SIN ESTADO;100; ;2;1; ; ; ; ; ;2; ;NO; ; ; ; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ; ; ; OTROS PERMANENTES; ; ;REGIÓN AMAZÓNICA; ;TOTAL NACIONAL;,454545454545455;,409090909090909; ; ; ; ; ; ; ;4;,37; ; ; ;,37; ; ; ; ; ;SOLO;12,6996679250109
01016801140890002; AZUAY;01;14089;0002;1;VIVEROS DE PERMANENTES;1;1; ; ; ; ; ;,25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;SI;,25; ;100; ; ; ; ;NO;NO; ; ; ; ; ; ;NO; ; ; ; ; ; ; ; ;NO;NO; ; ;NO; ; ; ; ; ; ; ; ; ; ; ; ;0;0; OTROS PERMANENTES;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ; ; ; ; ; ;0;,25; ; ;,25; ; ; ;,25; ; ;SOLO;89,4841615680785
