Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vgv_ncmterne;vgv_ncmtoret;vgv_ncmtoros;vgv_nchterne;vgv_nchvacon;vgv_nchvacas;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;subtotal_machos;subtotal_hembras;TOTAL;fact_exp_fin
03035501048460004;CAÑAR;01;04846;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;21,8328406352652
03035501048460007;CAÑAR;01;04846;0007; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;50,9385760962028
03035501048460010;CAÑAR;01;04846;0010; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;60,7945149464046
03035501048460014;CAÑAR;01;04846;0014; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;5,11807094634731
03035501048520001;CAÑAR;01;04852;0001; ;2;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;,619591604938813
03035501048520002;CAÑAR;01;04852;0002; ; ; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;23,0541080167124
03035501048520004;CAÑAR;01;04852;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;28,6397671387339
03035501048520005;CAÑAR;01;04852;0005; ;3; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;24,2575369863299
03035501048520006;CAÑAR;01;04852;0006;2; ; ; ;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;2;4;52,7214356481607
03015701050090001;CAÑAR;01;05009;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;60,0543206478927
03015701050090002;CAÑAR;01;05009;0002; ;2; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;18,9306955309719
03015701050230001;CAÑAR;01;05023;0001; ;2; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;1;3;39,0013196592534
03015701050230002;CAÑAR;01;05023;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;1,957962008227
03015701050230004;CAÑAR;01;05023;0004; ;3; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;7,61319062044836
03035801050910001;CAÑAR;01;05091;0001;3; ; ;7; ;15;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;22;25;7,99321256836509
03015701051750001;CAÑAR;01;05175;0001;2; ; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;3;5;36,7386578743744
03035601052240001;CAÑAR;01;05224;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;81,4660678106747
03035201052680001;CAÑAR;01;05268;0001; ;1; ; ; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;3;4;18,5334593950302
03035201052680002;CAÑAR;01;05268;0002; ;1; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;10,0338746319928
03035201052680003;CAÑAR;01;05268;0003; ; ; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;5,09500261243502
03035201052680004;CAÑAR;01;05268;0004; ; ; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;,498137403039856
03035201052680005;CAÑAR;01;05268;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;3,02378458215923
03035201052680006;CAÑAR;01;05268;0006; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;9,78725094502111
03015701053480001;CAÑAR;01;05348;0001; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;27,0333079147
03015701053480002;CAÑAR;01;05348;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;41,7756326464127
03015701053480003;CAÑAR;01;05348;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;39,4647969436582
03015701053480004;CAÑAR;01;05348;0004; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;20,086856803242
03035501054450002;CAÑAR;01;05445;0002; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;2,93967338060815
03035501054450003;CAÑAR;01;05445;0003;1; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;15,9098897086726
03035501054450005;CAÑAR;01;05445;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;21,0531519638161
03035501054450006;CAÑAR;01;05445;0006; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;55,707515494787
03035501054450007;CAÑAR;01;05445;0007; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;52,8172692636942
03035501054450008;CAÑAR;01;05445;0008;3; ; ;2; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;3;6;8,30061620186373
03035501054450012;CAÑAR;01;05445;0012; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;64,8695064850811
03035501054450013;CAÑAR;01;05445;0013; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;22,8877909401509
03035501054450014;CAÑAR;01;05445;0014; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;8,6726083818326
03035501054890001;CAÑAR;01;05489;0001;3; ; ;2; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;3;6;56,4562859865042
03035501054890002;CAÑAR;01;05489;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;8,84638824528683
03035501054890004;CAÑAR;01;05489;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;22,1141525064139
03035501054890005;CAÑAR;01;05489;0005; ;2; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;32,4488930714982
03035501054890006;CAÑAR;01;05489;0006; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;9,1498196032776
03035501054890008;CAÑAR;01;05489;0008; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;74,4258716789323
03015701055550001;CAÑAR;01;05555;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;27,0092965379406
03015701055550002;CAÑAR;01;05555;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;52,9487282914996
03015701055550003;CAÑAR;01;05555;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;2,02089705152336
03035501056160001;CAÑAR;01;05616;0001; ; ; ; ; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;40,7346763992514
03035501056160002;CAÑAR;01;05616;0002; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;8,34102709653069
03035501056230001;CAÑAR;01;05623;0001;1; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;14,0913453581691
03035501056230002;CAÑAR;01;05623;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;18,3889689956801
03035501056230003;CAÑAR;01;05623;0003;1; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;2;3;14,8458280466632
03035501056230004;CAÑAR;01;05623;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;4,50241593667471
03035501056230005;CAÑAR;01;05623;0005; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;,940576914005947
03035501056250001;CAÑAR;01;05625;0001;1; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;51,604771934357
03035501056250002;CAÑAR;01;05625;0002; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;44,9339215346991
03035501056250003;CAÑAR;01;05625;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;50,4387729909386
03035501056250004;CAÑAR;01;05625;0004; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;11,1325249922109
03035501056250005;CAÑAR;01;05625;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;23,1404366153245
03035201056780001;CAÑAR;01;05678;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;22,1336656763539
03035201056780006;CAÑAR;01;05678;0006; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;28,2446995399893
03035201056780007;CAÑAR;01;05678;0007;1; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;2;3;18,9240333574008
03035201056780008;CAÑAR;01;05678;0008;1; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;28,8680289566608
03035201056780009;CAÑAR;01;05678;0009; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;23,8331186142173
03035801058100001;CAÑAR;01;05810;0001; ; ;1; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;21,8197254157351
03035801060030001;CAÑAR;01;06003;0001; ; ; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;3,47889633748692
03035801060030002;CAÑAR;01;06003;0002; ;1; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;2;3;6,17950905748965
03015701061010001;CAÑAR;01;06101;0001; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;43,2279821982722
03015701061010002;CAÑAR;01;06101;0002; ; ;2; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;1;3;30,6079412941904
03035501061570003;CAÑAR;01;06157;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;14,6097311798271
03035501061590008;CAÑAR;01;06159;0008; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;1,91939338459663
03035501061590009;CAÑAR;01;06159;0009; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;19,1996578212001
03035501061590010;CAÑAR;01;06159;0010; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;18,6079210416878
03035501061590012;CAÑAR;01;06159;0012; ;2;1; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;2;5;2,80764243022528
03035501061590013;CAÑAR;01;06159;0013; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;26,0308016168921
03035801061910001;CAÑAR;01;06191;0001; ;7; ;4; ;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7;10;17;10,3471434734617
03035601062480001;CAÑAR;01;06248;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;18,5611280798163
03035601062480002;CAÑAR;01;06248;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;8,07563105364332
03035801063320001;CAÑAR;01;06332;0001; ;7; ;4; ;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7;10;17;10,3471434734617
03025001064330001;CAÑAR;01;06433;0001; ; ; ; ;2;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;14,8595206736745
03025001064330002;CAÑAR;01;06433;0002; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;49,5340473773771
03025001064330003;CAÑAR;01;06433;0003; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;16,2715312082464
03025001064330004;CAÑAR;01;06433;0004;3; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;,0770955065188581
03025001064330005;CAÑAR;01;06433;0005; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;9,05802368710243
03025001064330006;CAÑAR;01;06433;0006;2; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;7,48003935780829
03015301064710001;CAÑAR;01;06471;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;33,8173157823631
03015301064710002;CAÑAR;01;06471;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;16,3287160056847
03015301064710003;CAÑAR;01;06471;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;13,2791454315847
03015301064710004;CAÑAR;01;06471;0004; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;2,8566638576184
03015601064840002;CAÑAR;01;06484;0002; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;36,2608157761816
03035501066570001;CAÑAR;01;06657;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;19,7768276933174
03035501066570002;CAÑAR;01;06657;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;33,1516216501386
03035501066570003;CAÑAR;01;06657;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;26,2799581622814
03035501066570004;CAÑAR;01;06657;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;42,5648160595961
03035501066570005;CAÑAR;01;06657;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;20,8374428012487
03035501066670001;CAÑAR;01;06667;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;5,04919479697746
03035501066670003;CAÑAR;01;06667;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;11,574877119279
03035501066670004;CAÑAR;01;06667;0004;4; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4; ;4;4,10736744131808
03016001067600002;CAÑAR;01;06760;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;9,32194582696254
03016001067600004;CAÑAR;01;06760;0004;5; ;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7; ;7;46,2650134619667
03016001067600005;CAÑAR;01;06760;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;9,98950922881545
03016001068690002;CAÑAR;01;06869;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;44,3608742885258
03016001068690004;CAÑAR;01;06869;0004; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;36,025142935834
03016001068690006;CAÑAR;01;06869;0006; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;60,6139113186813
03016001069570001;CAÑAR;01;06957;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;53,6800331448805
03016001069570002;CAÑAR;01;06957;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;40,5591199562871
03016001069570003;CAÑAR;01;06957;0003; ;1;1; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;1;3;30,6623348738398
03025401069870001;CAÑAR;01;06987;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;12,872569149703
03025401069870002;CAÑAR;01;06987;0002;1; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;73,9074096435174
03025401069900001;CAÑAR;01;06990;0001;1; ; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;2;3;74,2010301938582
03025401069900002;CAÑAR;01;06990;0002; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;46,4596605328807
03025401069900003;CAÑAR;01;06990;0003; ;4; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4; ;4;1,06838894250289
03025401069900004;CAÑAR;01;06990;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;10,6029450115386
03025401069900005;CAÑAR;01;06990;0005; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;24,0433901405037
03016001070310001;CAÑAR;01;07031;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;36,4499542360408
03015001071090001;CAÑAR;01;07109;0001;3; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;15,3858589386582
03025001072200001;CAÑAR;01;07220;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;21,8400985748125
03025001072200002;CAÑAR;01;07220;0002; ;2; ;1; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;2;4;37,2606193360003
03025001072200005;CAÑAR;01;07220;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;6,03711845237599
03025401073130002;CAÑAR;01;07313;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;5,68221739741884
03025401073130003;CAÑAR;01;07313;0003; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;97,2938887306801
03025401073130007;CAÑAR;01;07313;0007; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;38,7519181937551
03025401073150003;CAÑAR;01;07315;0003; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;58,0057979406905
03025401073150004;CAÑAR;01;07315;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;,136792779870112
03025401073150005;CAÑAR;01;07315;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;19,0183542372
03025401073150006;CAÑAR;01;07315;0006; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;9,06834344964503
03025401073150011;CAÑAR;01;07315;0011;7; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7;1;8;17,8208320593333
03025401073150012;CAÑAR;01;07315;0012; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;3,57825900641619
03025001073470001;CAÑAR;01;07347;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;19,4575659445385
03025001073470003;CAÑAR;01;07347;0003; ; ; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;7,82904971558426
03025001073470004;CAÑAR;01;07347;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;20,8682323498492
03025001073470005;CAÑAR;01;07347;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;28,0579232878197
03025001073470006;CAÑAR;01;07347;0006; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;21,5795211624346
03025001073470012;CAÑAR;01;07347;0012; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;72,897970300901
03015001073600001;CAÑAR;01;07360;0001; ; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2;2;35,6991907840204
03015001073600002;CAÑAR;01;07360;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;57,2821012627612
03015001075860001;CAÑAR;01;07586;0001;1; ; ;2;2;5;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;9;10;10,8341722928997
03015001075860002;CAÑAR;01;07586;0002; ; ;3; ;1;6;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;7;10;7,56180312706175
03025101076380001;CAÑAR;01;07638;0001; ;1;1; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;1;3;4,382667744755
03025101076380002;CAÑAR;01;07638;0002;2; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;8,03707163745455
03025101076380003;CAÑAR;01;07638;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;53,5586338561833
03025101076380004;CAÑAR;01;07638;0004; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;46,3965877853968
03025101077310001;CAÑAR;01;07731;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;1,89893346106424
03025101077310002;CAÑAR;01;07731;0002;2; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;13,9654226975216
03015501078400007;CAÑAR;01;07840;0007; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;50,9047853081308
03015501079040001;CAÑAR;01;07904;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;31,0535962972129
03015501079040003;CAÑAR;01;07904;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;25,5267817180354
03015501079040004;CAÑAR;01;07904;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;5,49964211375981
03015101079610001;CAÑAR;01;07961;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;60,6950319114634
03015101079610002;CAÑAR;01;07961;0002; ; ;2; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;54,336338695102
03015101079610003;CAÑAR;01;07961;0003; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;85,9857975672466
03015101079610004;CAÑAR;01;07961;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;34,6625242676393
03015501079690001;CAÑAR;01;07969;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;20,8619863145599
03015501079690002;CAÑAR;01;07969;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;57,5069543523319
03015101080230001;CAÑAR;01;08023;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;12,2506901400313
03065001080620002;CAÑAR;01;08062;0002; ; ; ; ; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;19,3967759371652
03065001080620003;CAÑAR;01;08062;0003; ;10;5; ;3;7;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;15;10;25;,162779452463917
03065001081980002;CAÑAR;01;08198;0002; ; ;1; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1;2;66,6105176322934
03065001081980003;CAÑAR;01;08198;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;24,1893875148253
03065001081980005;CAÑAR;01;08198;0005;2; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;16,990307726626
03065001081980006;CAÑAR;01;08198;0006; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;23,9347865238206
03065001082640002;CAÑAR;01;08264;0002;1; ; ;3; ;4;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;7;8;24,5821247824673
03065001082640003;CAÑAR;01;08264;0003; ;1; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;41,3399110015458
03065001082640004;CAÑAR;01;08264;0004; ; ; ; ;3; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3;3;25,0008383042936
03065001082640005;CAÑAR;01;08264;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;83,8268620416034
03015101082920004;CAÑAR;01;08292;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;36,0481247851535
03065001084280002;CAÑAR;01;08428;0002; ;2; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;10,6224793743483
03065001084280004;CAÑAR;01;08428;0004; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;59,3402084846532
03065001084280007;CAÑAR;01;08428;0007; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;69,6928995440455
03065001084280012;CAÑAR;01;08428;0012; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;4,48995536703967
03015101084640002;CAÑAR;01;08464;0002; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;38,2775587272368
03015801085720001;CAÑAR;01;08572;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;60,160580030524
03065001086220001;CAÑAR;01;08622;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;41,6022179234704
03065001086220005;CAÑAR;01;08622;0005; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;48,7438719456422
03015401087320003;CAÑAR;01;08732;0003; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;22,5326443860309
03065101088780001;CAÑAR;01;08878;0001; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ;26,0493208406695
03065101088780002;CAÑAR;01;08878;0002; ; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1;1;40,0618130991738
03065101089470002;CAÑAR;01;08947;0002;1; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1; ;1;42,2838320382068
03045202005710001;CAÑAR;02;00571;0001; ;2; ; ; ;3;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;3;5;26,7422884208746
