Identificador;ual_prov;ual_estr;ual_segm;al_ncues;vm_numl;vm_k821;vm_k822;vm_k823;vm_k824;vm_k825;vm_k826;vm_k827;vm_trs;vm_trc;vm_tro;vm_znd;vm_tn;va_nacidos;vm_subtmachos;vm_subthembras;TOTAL;fact_exp_fin
01016101170850004; AZUAY;01;17085;0004;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6,81883134025291
01016101170850004; AZUAY;01;17085;0004;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6,81883134025291
01016101170850004; AZUAY;01;17085;0004;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;6,81883134025291
01016101170850004; AZUAY;01;17085;0004;6;4;3; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4;3;1;4;6,81883134025291
01016101170850005; AZUAY;01;17085;0005;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,384387900936217
01016101170850005; AZUAY;01;17085;0005;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,384387900936217
01016101170850005; AZUAY;01;17085;0005;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,384387900936217
01016101170850005; AZUAY;01;17085;0005;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,384387900936217
01016101170850005; AZUAY;01;17085;0005;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,384387900936217
01016101170850005; AZUAY;01;17085;0005;6;3;1; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;1;2;3;,384387900936217
01016101170850006; AZUAY;01;17085;0006;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;20,5027698193132
01016101170850006; AZUAY;01;17085;0006;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;20,5027698193132
01016101170850006; AZUAY;01;17085;0006;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;20,5027698193132
01016101170850006; AZUAY;01;17085;0006;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;20,5027698193132
01016101170850006; AZUAY;01;17085;0006;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;20,5027698193132
01016101170850006; AZUAY;01;17085;0006;6;4;2; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4;2;2;4;20,5027698193132
01075001171510001; AZUAY;01;17151;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;24,5522145642059
01075001171510001; AZUAY;01;17151;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;24,5522145642059
01075001171510001; AZUAY;01;17151;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;24,5522145642059
01075001171510001; AZUAY;01;17151;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;24,5522145642059
01075001171510001; AZUAY;01;17151;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;24,5522145642059
01075001171510001; AZUAY;01;17151;0001;6;8;3; ; ;5; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8;3;5;8;24,5522145642059
01075001171510002; AZUAY;01;17151;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;8,08828134850649
01075001171510002; AZUAY;01;17151;0002;2;2; ; ; ; ;2; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;2;2;8,08828134850649
01075001171510002; AZUAY;01;17151;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;8,08828134850649
01075001171510002; AZUAY;01;17151;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;8,08828134850649
01075001171510002; AZUAY;01;17151;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;8,08828134850649
01075001171510002; AZUAY;01;17151;0002;6;10;4; ; ;6; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;10;4;6;10;8,08828134850649
01015201172420001; AZUAY;01;17242;0001;1;1; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1; ;1;5,2839588978704
01015201172420001; AZUAY;01;17242;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;5,2839588978704
01015201172420001; AZUAY;01;17242;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;5,2839588978704
01015201172420001; AZUAY;01;17242;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;5,2839588978704
01015201172420001; AZUAY;01;17242;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;5,2839588978704
01015201172420001; AZUAY;01;17242;0001;6;3;2; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;2;1;3;5,2839588978704
01015201172420002; AZUAY;01;17242;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;70,0189903661975
01015201172420002; AZUAY;01;17242;0002;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;70,0189903661975
01015201172420002; AZUAY;01;17242;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;70,0189903661975
01015201172420002; AZUAY;01;17242;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;70,0189903661975
01015201172420002; AZUAY;01;17242;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;70,0189903661975
01015201172420002; AZUAY;01;17242;0002;6;4;2; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4;2;2;4;70,0189903661975
01015201172450001; AZUAY;01;17245;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;38,7497251979255
01015201172450001; AZUAY;01;17245;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;38,7497251979255
01015201172450001; AZUAY;01;17245;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;38,7497251979255
01015201172450001; AZUAY;01;17245;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;38,7497251979255
01015201172450001; AZUAY;01;17245;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;38,7497251979255
01015201172450001; AZUAY;01;17245;0001;6;4;1; ; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4;1;3;4;38,7497251979255
01015201173200002; AZUAY;01;17320;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;31,6037780122572
01015201173200002; AZUAY;01;17320;0002;2;1; ; ; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;1;1;31,6037780122572
01015201173200002; AZUAY;01;17320;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;31,6037780122572
01015201173200002; AZUAY;01;17320;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;31,6037780122572
01015201173200002; AZUAY;01;17320;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;31,6037780122572
01015201173200002; AZUAY;01;17320;0002;6;2;1; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;1;1;2;31,6037780122572
01025001174150001; AZUAY;01;17415;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;40,3253487710176
01025001174150001; AZUAY;01;17415;0001;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;40,3253487710176
01025001174150001; AZUAY;01;17415;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;40,3253487710176
01025001174150001; AZUAY;01;17415;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;40,3253487710176
01025001174150001; AZUAY;01;17415;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;40,3253487710176
01025001174150001; AZUAY;01;17415;0001;6;3; ; ; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3; ;3;3;40,3253487710176
01025001174150002; AZUAY;01;17415;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;47,9074355309932
01025001174150002; AZUAY;01;17415;0002;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;47,9074355309932
01025001174150002; AZUAY;01;17415;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;47,9074355309932
01025001174150002; AZUAY;01;17415;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;47,9074355309932
01025001174150002; AZUAY;01;17415;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;47,9074355309932
01025001174150002; AZUAY;01;17415;0002;6;1;1; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1; ;1;47,9074355309932
01025001174150003; AZUAY;01;17415;0003;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,8385986737761
01025001174150003; AZUAY;01;17415;0003;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,8385986737761
01025001174150003; AZUAY;01;17415;0003;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,8385986737761
01025001174150003; AZUAY;01;17415;0003;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,8385986737761
01025001174150003; AZUAY;01;17415;0003;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,8385986737761
01025001174150003; AZUAY;01;17415;0003;6;4;4; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4;4; ;4;19,8385986737761
01025001174150004; AZUAY;01;17415;0004;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;4,61961076116354
01025001174150004; AZUAY;01;17415;0004;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;4,61961076116354
01025001174150004; AZUAY;01;17415;0004;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;4,61961076116354
01025001174150004; AZUAY;01;17415;0004;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;4,61961076116354
01025001174150004; AZUAY;01;17415;0004;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;4,61961076116354
01025001174150004; AZUAY;01;17415;0004;6;4;2; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;4;2;2;4;4,61961076116354
01095601174830002; AZUAY;01;17483;0002;1;2; ;2; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2; ;2;3,30639901171809
01095601174830002; AZUAY;01;17483;0002;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;3,30639901171809
01095601174830002; AZUAY;01;17483;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;3,30639901171809
01095601174830002; AZUAY;01;17483;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;3,30639901171809
01095601174830002; AZUAY;01;17483;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;3,30639901171809
01095601174830002; AZUAY;01;17483;0002;6; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;3,30639901171809
01095601174830007; AZUAY;01;17483;0007;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;74,6761885186109
01095601174830007; AZUAY;01;17483;0007;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;74,6761885186109
01095601174830007; AZUAY;01;17483;0007;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;74,6761885186109
01095601174830007; AZUAY;01;17483;0007;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;74,6761885186109
01095601174830007; AZUAY;01;17483;0007;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;74,6761885186109
01095601174830007; AZUAY;01;17483;0007;6;1;1; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;1;1; ;1;74,6761885186109
01095601174830009; AZUAY;01;17483;0009;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;78,2807967070191
01095601174830009; AZUAY;01;17483;0009;2;1;1; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1; ;1;78,2807967070191
01095601174830009; AZUAY;01;17483;0009;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;78,2807967070191
01095601174830009; AZUAY;01;17483;0009;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;78,2807967070191
01095601174830009; AZUAY;01;17483;0009;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;78,2807967070191
01095601174830009; AZUAY;01;17483;0009;6;2; ; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;2;78,2807967070191
01025001175200002; AZUAY;01;17520;0002;1;1; ; ;1; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;1; ;1;17,9721074029128
01025001175200002; AZUAY;01;17520;0002;2;1; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;1;1;17,9721074029128
01025001175200002; AZUAY;01;17520;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;17,9721074029128
01025001175200002; AZUAY;01;17520;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;17,9721074029128
01025001175200002; AZUAY;01;17520;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;17,9721074029128
01025001175200002; AZUAY;01;17520;0002;6; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;17,9721074029128
01025001175200004; AZUAY;01;17520;0004;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,328243384113373
01025001175200004; AZUAY;01;17520;0004;2;2; ; ; ; ; ;2;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;2;2;,328243384113373
01025001175200004; AZUAY;01;17520;0004;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,328243384113373
01025001175200004; AZUAY;01;17520;0004;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,328243384113373
01025001175200004; AZUAY;01;17520;0004;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,328243384113373
01025001175200004; AZUAY;01;17520;0004;6; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,328243384113373
01025201175470001; AZUAY;01;17547;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;3,1752162572523
01025201175470001; AZUAY;01;17547;0001;2;1; ; ; ; ;1; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;1;1;3,1752162572523
01025201175470001; AZUAY;01;17547;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;3,1752162572523
01025201175470001; AZUAY;01;17547;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;3,1752162572523
01025201175470001; AZUAY;01;17547;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;3,1752162572523
01025201175470001; AZUAY;01;17547;0001;6;8;5; ; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;8;5;3;8;3,1752162572523
01025201175470002; AZUAY;01;17547;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;11,2759674296346
01025201175470002; AZUAY;01;17547;0002;2;3;3; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;3; ;3;11,2759674296346
01025201175470002; AZUAY;01;17547;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;11,2759674296346
01025201175470002; AZUAY;01;17547;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;11,2759674296346
01025201175470002; AZUAY;01;17547;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;11,2759674296346
01025201175470002; AZUAY;01;17547;0002;6;7;3; ; ;4; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;7;3;4;7;11,2759674296346
01025201175470003; AZUAY;01;17547;0003;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;23,7891402055884
01025201175470003; AZUAY;01;17547;0003;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;23,7891402055884
01025201175470003; AZUAY;01;17547;0003;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;23,7891402055884
01025201175470003; AZUAY;01;17547;0003;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;23,7891402055884
01025201175470003; AZUAY;01;17547;0003;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;23,7891402055884
01025201175470003; AZUAY;01;17547;0003;6;2;1; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2;1;1;2;23,7891402055884
01095601177080001; AZUAY;01;17708;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;18,7095886525299
01095601177080001; AZUAY;01;17708;0001;2;1; ; ; ; ; ;1;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ;1;1;18,7095886525299
01095601177080001; AZUAY;01;17708;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;18,7095886525299
01095601177080001; AZUAY;01;17708;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;18,7095886525299
01095601177080001; AZUAY;01;17708;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;18,7095886525299
01095601177080001; AZUAY;01;17708;0001;6;5;2; ; ;3; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5;2;3;5;18,7095886525299
01095601177080002; AZUAY;01;17708;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;24,3074573878348
01095601177080002; AZUAY;01;17708;0002;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;24,3074573878348
01095601177080002; AZUAY;01;17708;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;24,3074573878348
01095601177080002; AZUAY;01;17708;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;24,3074573878348
01095601177080002; AZUAY;01;17708;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;24,3074573878348
01095601177080002; AZUAY;01;17708;0002;6;5;4; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;5;4;1;5;24,3074573878348
01095601177080003; AZUAY;01;17708;0003;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,2764811678426
01095601177080003; AZUAY;01;17708;0003;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,2764811678426
01095601177080003; AZUAY;01;17708;0003;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,2764811678426
01095601177080003; AZUAY;01;17708;0003;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,2764811678426
01095601177080003; AZUAY;01;17708;0003;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;19,2764811678426
01095601177080003; AZUAY;01;17708;0003;6;3;1; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;1;2;3;19,2764811678426
01095601177080004; AZUAY;01;17708;0004;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;32,8886869997725
01095601177080004; AZUAY;01;17708;0004;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;32,8886869997725
01095601177080004; AZUAY;01;17708;0004;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;32,8886869997725
01095601177080004; AZUAY;01;17708;0004;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;32,8886869997725
01095601177080004; AZUAY;01;17708;0004;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;32,8886869997725
01095601177080004; AZUAY;01;17708;0004;6;3;1; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;1;2;3;32,8886869997725
01095601177080005; AZUAY;01;17708;0005;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,543288648672778
01095601177080005; AZUAY;01;17708;0005;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,543288648672778
01095601177080005; AZUAY;01;17708;0005;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,543288648672778
01095601177080005; AZUAY;01;17708;0005;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,543288648672778
01095601177080005; AZUAY;01;17708;0005;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;,543288648672778
01095601177080005; AZUAY;01;17708;0005;6;3;1; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;1;2;3;,543288648672778
01025001177320001; AZUAY;01;17732;0001;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;54,7519346262815
01025001177320001; AZUAY;01;17732;0001;2;2;2; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2; ;2;54,7519346262815
01025001177320001; AZUAY;01;17732;0001;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;54,7519346262815
01025001177320001; AZUAY;01;17732;0001;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;54,7519346262815
01025001177320001; AZUAY;01;17732;0001;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;54,7519346262815
01025001177320001; AZUAY;01;17732;0001;6;3;2; ; ;1; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;3;2;1;3;54,7519346262815
01025001177320002; AZUAY;01;17732;0002;1; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;50,2693693319653
01025001177320002; AZUAY;01;17732;0002;2; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;50,2693693319653
01025001177320002; AZUAY;01;17732;0002;3; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;50,2693693319653
01025001177320002; AZUAY;01;17732;0002;4; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;50,2693693319653
01025001177320002; AZUAY;01;17732;0002;5; ; ; ; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ; ; ; ;50,2693693319653
01025001177320002; AZUAY;01;17732;0002;6;2; ; ; ;2; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL;2; ;2;2;50,2693693319653
01025001177540002; AZUAY;01;17754;0002;1;2; ;2; ; ; ; ;REGIÓN SIERRA; ; ; ;TOTAL NACIONAL; ;2; ;2;31,5238210566403
